"ID","PathID","NodeIndex","ContinentID","LocX","LocY","LocZ","Flags","Delay","ArrivalEventID","DepartureEventID"
"35","6","0","0","-8851.658","498.5518","111.256","0","0","0","0"
"36","6","1","0","-8853.767","496.5698","111.515","0","0","0","0"
"37","6","2","0","-8869.408","486.3725","116.4329","0","0","0","0"
"38","6","3","0","-8937.975","447.6957","122.1006","0","0","0","0"
"39","6","4","0","-9025.543","501.7202","122.1006","0","0","0","0"
"40","6","5","0","-9109.895","473.5467","148.9892","0","0","0","0"
"41","6","6","0","-9247.455","381.144","152.1426","0","0","0","0"
"42","6","7","0","-9328.747","433.829","130.6152","0","0","0","0"
"43","6","8","0","-9380.047","432.5326","78.04019","0","0","0","0"
"44","6","9","0","-9451.38","386.5202","56.92871","0","0","0","0"
"45","6","10","0","-9524.628","368.0678","53.43007","0","0","0","0"
"46","6","11","0","-9601.133","407.54","52.47625","0","0","0","0"
"47","6","12","0","-9686.165","469.8009","40.71203","0","0","0","0"
"48","6","13","0","-9734.622","552.1639","39.32314","0","0","0","0"
"68","7","0","0","-10628.54","1040.069","35.09415","0","0","0","0"
"69","7","1","0","-10627.92","1043.553","35.31906","0","0","0","0"
"70","7","2","0","-10624.31","1055.371","37.65337","0","0","0","0"
"71","7","3","0","-10609.96","1097.778","43.05283","0","0","0","0"
"72","7","4","0","-10504.49","1142.775","52.09254","0","0","0","0"
"73","7","5","0","-10424.17","1068.109","58.97522","0","0","0","0"
"74","7","6","0","-10308.55","1046.854","58.32771","0","0","0","0"
"75","7","7","0","-10210.66","931.045","58.41953","0","0","0","0"
"76","7","8","0","-10184.71","811.8256","43.81411","0","0","0","0"
"77","7","9","0","-10197.82","634.4207","30.07676","0","0","0","0"
"78","7","10","0","-10174.34","554.7805","29.16283","0","0","0","0"
"79","7","11","0","-10100.25","513.2532","32.32518","0","0","0","0"
"80","7","12","0","-9946.887","506.5988","37.31886","0","0","0","0"
"81","7","13","0","-9881.448","524.3186","37.4745","0","0","0","0"
"82","7","14","0","-9814.705","523.4794","37.57549","0","0","0","0"
"83","7","15","0","-9756.677","540.9895","43.89014","0","0","0","0"
"84","7","16","0","-9709.989","517.1216","45.58359","0","0","0","0"
"85","7","17","0","-9690.506","464.9645","40.52817","0","0","0","0"
"86","7","18","0","-9599.503","406.5533","44.54248","0","0","0","0"
"87","7","19","0","-9534.183","366.7751","60.36917","0","0","0","0"
"88","7","20","0","-9466.773","373.8241","60.3195","0","0","0","0"
"89","7","21","0","-9380.502","433.0388","76.56032","0","0","0","0"
"90","7","22","0","-9279.56","422.0251","159.3055","0","0","0","0"
"91","7","23","0","-9127.248","269.2381","162.6833","0","0","0","0"
"92","7","24","0","-9039.433","381.5962","145.8778","0","0","0","0"
"119","8","0","0","-9433.93","-2238.759","70.68005","0","0","0","0"
"120","8","1","0","-9436.162","-2240.107","71.47904","0","0","0","0"
"121","8","2","0","-9445.476","-2244.032","74.4659","0","0","0","0"
"122","8","3","0","-9471.324","-2250.823","81.71274","0","0","0","0"
"123","8","4","0","-9507.948","-2244.839","97.67113","0","0","0","0"
"124","8","5","0","-9543.871","-2197.871","101.9485","0","0","0","0"
"125","8","6","0","-9606.379","-2086.054","77.63744","0","0","0","0"
"126","8","7","0","-9555.001","-2000.303","80.11665","0","0","0","0"
"127","8","8","0","-9632.947","-1875.718","84.19599","0","0","0","0"
"128","8","9","0","-9625.083","-1769.786","109.4554","0","0","0","0"
"129","8","10","0","-9693.008","-1586.187","131.6178","0","0","0","0"
"130","8","11","0","-9805.718","-1424.024","111.9092","0","0","0","0"
"131","8","12","0","-9674.998","-1306.913","118.9719","0","0","0","0"
"132","8","13","0","-9575.312","-1177.973","128.8013","0","0","0","0"
"133","8","14","0","-9488.233","-943.3488","146.1608","0","0","0","0"
"134","8","15","0","-9449.529","-726.4036","154.3925","0","0","0","0"
"135","8","16","0","-9487.82","-427.2995","135.646","0","0","0","0"
"136","8","17","0","-9493.372","-158.4364","146.0744","0","0","0","0"
"137","8","18","0","-9241.616","3.949002","173.4216","0","0","0","0"
"138","8","19","0","-9133.22","270.7874","161.1161","0","0","0","0"
"176","9","0","0","-8851.029","497.5721","111.3419","0","0","0","0"
"177","9","1","0","-8853.044","495.9638","111.3472","0","0","0","0"
"178","9","2","0","-8870.239","483.1436","115.7739","0","0","0","0"
"179","9","3","0","-8923.743","449.3642","129.3876","0","0","0","0"
"180","9","4","0","-9035.204","504.1122","138.0893","0","0","0","0"
"181","9","5","0","-9109.231","468.9756","144.2065","0","0","0","0"
"182","9","6","0","-9189.168","411.431","162.5806","0","0","0","0"
"183","9","7","0","-9210.607","311.5711","95.03504","0","0","0","0"
"184","9","8","0","-9258.301","242.521","79.05361","0","0","0","0"
"185","9","9","0","-9304.224","202.5789","76.13682","0","0","0","0"
"186","9","10","0","-9419.427","86.85379","67.63692","0","0","0","0"
"187","9","11","0","-9494.24","53.96614","64.30503","0","0","0","0"
